"PISA_math_change","PISA_sci_change","PISA_read_change","PISA_math_change_3","PISA_sci_change_3","PISA_read_change_3","PISA_math_new_3","PISA_sci_new_3","PISA_read_new_3","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1","Trade_change","Life_expectancy_change","Gross_capital_formation_change","Govt_expenditure_total_change","Pre_pri_sch_expectancy_change","Pri_sch_expectancy_change","Sec_sch_expectancy_change","Pri_sec_sch_expectancy_change","Gov_ex_change","Gov_ex_percent_GDP_change","Population_change","Pre_pri_enrolment_num_change","Pri_enrolment_num_change","Sec_enrolment_num_change","Ter_enrolment_num_change","Pre_pri_enrolment_ratio_change","Pri_enrolment_ratio_change","Sec_enrolment_ratio_change"
NA,NA,NA,NA,NA,NA,NA,NA,NA,3300000109,NA,247.3540878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.0204669025950197,0,NA,NA,NA,NA,NA,NA,3697940410,NA,275.7381154,NA,-0.0669134810200413,0.0151016456921588,0.117330926712363,-0.00125990170807015,NA,0.0422441604475029,0.0525707903387529,0.0449979354087553,NA,NA,0.0128986449787136,NA,0.0608263813916969,0.0684710738252029,0.307859045023843,NA,0.0422450029062771,0.0525603964799307
-0.0105139698150477,0.0795873091190493,0.299521106800181,NA,NA,NA,NA,NA,NA,3641723322,NA,272.6555102,NA,NA,0.0152822811367537,NA,NA,NA,NA,NA,NA,NA,NA,0.00523626139121839,NA,NA,NA,0.0878871105218297,NA,NA,NA
0.0106256879777095,-0.092297971903171,-0.230485757586265,NA,NA,NA,453.48526035,423.516472703704,379.664629871528,3478787909,NA,264.1111971,NA,NA,0.0154749324879652,NA,NA,NA,NA,NA,NA,NA,NA,-0.00406716667203537,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0.0204669025950197,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.0157016002219962,NA,NA,0.118518518518518,0.0810800604229606,0.152933807885789,0.100860459897205,NA,NA,-0.013838793678978,0.111856823266219,0.0679024117767822,0.13510371350253,NA,0.117984599437287,0.0810799175317906,0.152936572842122
0,-0.101426960202975,0,-0.0105139698150477,0.0795873091190493,0.299521106800181,448.717330011111,466.580947925926,493.382200023529,NA,NA,NA,NA,NA,0.0158003779341119,NA,NA,-0.0355960264900662,-0.637220106892095,-0.451888004552941,-0.583789736947437,NA,NA,-0.0219520329725768,-0.0472837022132797,-0.64336549430539,-0.464090588252962,NA,-0.0357048246630682,-0.637220639801139,-0.451890869995768
0.147793837217686,0.322367982996641,0.317357379834502,0.0106256879777095,-0.092297971903171,-0.230485757586265,453.48526035,423.516472703704,379.664629871528,NA,NA,NA,NA,NA,0.0158459779904521,NA,NA,NA,NA,NA,NA,NA,NA,-0.0267647778448454,NA,NA,NA,NA,NA,NA,NA
-0.128763400207782,-0.243780844017501,-0.240904544729063,0,0,0,453.48526035,423.516472703704,379.664629871528,NA,NA,NA,NA,NA,0.0157973700467744,NA,NA,NA,NA,NA,NA,NA,NA,-0.0265947663572273,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,-0.101426960202975,0,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA,NA,0.0156602953953085,NA,NA,0.361951822112415,0.0873588480485034,0.0589416107563387,0.0771230544629129,NA,NA,-0.0218024937456429,0.337108699071889,0.0710828856982548,0.0405572333956851,NA,0.36181329710033,0.0873579577749786,0.0589293739915998
0,0,0,0.147793837217686,0.322367982996641,0.317357379834502,520.507587098788,503.241000007527,500.154002023392,NA,NA,NA,NA,NA,0.0155043733025383,NA,NA,0.0684807256235828,0.0810791973626434,-0.0765002989783845,0.0253064238690911,NA,NA,-0.0169228916098631,0.0589411764705882,0.0702473129500157,-0.0902990100832926,NA,0.0685969940770437,0.0810785832721737,-0.076491782505477
0.147793837217686,0.322367982996641,0.317357379834502,-0.128763400207782,-0.243780844017501,-0.240904544729063,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA,NA,0.0152676578359938,NA,NA,NA,NA,NA,NA,NA,NA,-0.0112170238712276,NA,NA,NA,-0.215054245494486,NA,NA,NA
-0.128763400207782,-0.158422162150204,-0.240904544729063,0,0,0,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA,NA,0.0149136089274232,NA,NA,NA,NA,NA,NA,NA,NA,0.00116083937536828,NA,NA,NA,NA,NA,NA,NA
0,0.0204669025950197,0,0,0,0,453.48526035,380.560484281481,379.664629871528,NA,NA,NA,NA,NA,0.014510525240139,NA,NA,NA,-0.0704562912889845,-0.0413578922119403,-0.0620589403273816,NA,NA,0.0215933802748406,NA,-0.0452516950010896,-0.0137298434213601,NA,NA,-0.0704565769068745,-0.0413601437375396
0,0,0,0.147793837217686,0.322367982996641,0.317357379834502,520.507587098788,503.241000007527,500.154002023392,NA,NA,NA,NA,NA,0.0139202256244964,NA,NA,NA,-0.0400138833796112,-0.142687825113584,-0.0703018485358151,NA,NA,0.0457862188646828,NA,0.000607585170421211,-0.0998755997867425,NA,NA,-0.0400165278328706,-0.142689405103269
0,0,0,-0.128763400207782,-0.158422162150204,-0.240904544729063,453.48526035,423.516472703704,379.664629871528,NA,NA,NA,NA,NA,0.013272138443504,NA,NA,NA,-0.0560347548622949,0.436881720430107,0.0780370005180742,NA,NA,0.0714378824631164,NA,0.00863435783670381,0.546166502138861,NA,NA,-0.0560303180767331,0.436879951631158
0.147793837217686,0.202046936450245,0.317357379834502,0,0.0204669025950197,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.0125884821271004,NA,NA,NA,NA,NA,NA,NA,NA,0.0892193009453255,NA,NA,NA,NA,NA,NA,NA
-0.128763400207782,-0.168085729702792,-0.240904544729063,0,0,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.0119091419608451,NA,NA,NA,NA,NA,NA,NA,NA,0.0918886316056019,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.0112140232700551,NA,NA,NA,0.352011672318803,0.388805527068603,0.364628408767014,NA,NA,0.0796077387793068,NA,0.476664649372181,0.498515820212542,NA,NA,0.374426479607878,0.390172569059717
0,0,0,0.147793837217686,0.202046936450245,0.317357379834502,520.507587098788,519.506106012,500.154002023392,NA,NA,NA,NA,NA,0.0105219333106242,NA,NA,NA,0.0687830467373053,-0.0288918944128347,0.0346938720151471,NA,NA,0.0606082540438835,NA,0.129797906743674,0.0303136840498069,NA,NA,0.0687820092629675,-0.0288933204862611
0.147793837217686,0.202046936450245,0.317357379834502,-0.128763400207782,-0.168085729702792,-0.240904544729063,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.00985055620060669,NA,NA,NA,NA,NA,NA,NA,NA,0.0410134209929546,NA,NA,NA,NA,NA,NA,NA
0,0,0,0,0,0,453.48526035,432.184543097917,379.664629871528,NA,NA,NA,NA,NA,0.00927230917587716,NA,NA,NA,NA,NA,NA,NA,NA,0.0267160306102277,NA,NA,NA,NA,NA,NA,NA
