"Pre_pri_sch_expectancy","Pri_sch_expectancy","Sec_sch_expectancy","Pri_sec_sch_expectancy","Lower_sec_completion","Upper_sec_completion","Gov_ex","Gov_ex_percent_GDP","Literacy_rate","Population","Pre_pri_enrolment_num","Pre_pri_enrolment_ratio","Pri_enrolment_num","Pri_enrolment_ratio","Pri_completion","Sec_enrolment_num","Sec_enrolment_ratio","Ter_enrolment_num","STEM_ter_grad_percent","Illiterate_pop","Pre_pri_pupil_teacher_ratio","Gov_ex_capita","Gov_ex_3","Log_gov_ex_3","PISA_math_new","PISA_sci_new","PISA_read_new","GDP_1","GDP_growth_1","GDP_capita_1","GDP_capita_growth_1"
NA,4.19094,NA,NA,NA,NA,NA,NA,NA,22600770,NA,NA,2667629,68.98685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,520.507587098788,488.901259933333,482.767545861403,4515558808,8.832277813,190.6838143,3.868380295
0.0308,5.60173,0.75293,6.35466,NA,NA,NA,NA,NA,23680871,24220,3.08047,3781015,93.36218,NA,406895,12.54889,26211,NA,NA,NA,NA,NA,NA,320.8696702,423.516472703704,379.664629871528,5226778809,1.414117981,211.3820742,-2.875203167
NA,6.27983,1.05409,7.33391,NA,NA,NA,NA,NA,24726684,NA,NA,4430142,104.66382,NA,594306,17.56808,27648,NA,NA,NA,NA,NA,NA,362.306513833333,412.097043288667,379.664629871528,6209137625,11.22971482,242.0313132,7.207967218
NA,5.88599,1.11701,7.003,NA,NA,NA,NA,NA,25654277,NA,NA,4318819,98.09989,NA,651453,18.61681,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,379.664629871528,6971285595,5.357403251,263.7336019,2.253310644
NA,6.10187,1.69535,7.79722,NA,NA,NA,NA,NA,26433049,NA,NA,4669110,101.69785,NA,1006841,28.25587,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,379.664629871528,9747879532,13.82631955,359.6931579,11.02278717
NA,6.11525,1.69975,7.815,NA,NA,NA,NA,NA,27100536,NA,NA,4718077,98.93351,NA,1035782,28.49334,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,379.664629871528,10109225814,3.924983822,364.660679,1.594215458
NA,6.04678,2.29164,8.33842,NA,NA,NA,NA,NA,27722276,NA,NA,4974836,100.77973,NA,1425009,38.19398,NA,NA,NA,NA,NA,NA,NA,362.306513833333,423.516472703704,417.391683925397,12439087077,21.39052839,438.0761424,18.51541929
NA,5.81378,2.66522,8.47901,NA,NA,NA,NA,NA,28394813,NA,NA,4945632,96.8964,NA,1716190,44.42038,95185,NA,NA,NA,NA,NA,NA,418.743741424242,423.516472703704,417.391683925397,15856574731,14.36244147,543.3029674,11.26409057
NA,6.0043,3.03404,9.03834,NA,NA,537.00997,17.06756,NA,29185507,NA,NA,5279326,100.07171,NA,2044157,50.56725,NA,NA,NA,NA,18.3998849154822,NA,NA,418.743741424242,424.668252925,390.536143647354,17804292964,0.426354785,591.1627983,-2.681061056
NA,5.8585,3.10541,8.96391,23.377,13.71896,536.59542,16.04843,31.44885,30117413,NA,NA,5291624,97.64164,40.72569,2208963,51.75691,97504,NA,10777643,NA,17.8167832675403,NA,NA,418.743741424242,424.668252925,390.536143647354,20001598506,12.75228709,641.871438,8.974865343
NA,6.20954,3.21708,9.42663,NA,NA,455.11321,10.3568,NA,31161376,NA,NA,5767543,103.49239,NA,2415884,53.61805,NA,NA,NA,NA,14.6050421521822,NA,NA,418.743741424242,424.668252925,390.536143647354,20561069558,5.600744658,637.165464,1.97416569
NA,6.27991,3.28952,9.56943,NA,NA,637.51755,14.1028,NA,32269589,NA,NA,5986268,104.49843,NA,2538420,53.57513,NA,NA,NA,NA,19.7559860461811,18.3998849154822,2.91234441000202,418.743741424242,424.668252925,390.536143647354,20484885120,2.724543364,613.8565052,-0.665291051
NA,6.36571,3.19814,9.56385,NA,NA,700.52929,14.46593,NA,33370794,NA,NA,6217756,105.91971,NA,2602734,52.5829,262874,NA,NA,NA,20.9922871478575,17.8167832675403,2.88014089326461,418.743741424242,424.668252925,390.536143647354,19907111419,1.45131466,578.4663529,-1.622857186
NA,6.223,3.13207,9.35507,36.95639,24.07906,626.1828,12.509,NA,34413603,NA,NA,6199329,103.53452,54.21079,2651459,51.66995,NA,NA,NA,NA,18.1957930996066,14.6050421521822,2.6813668219829,418.743741424242,424.668252925,390.536143647354,18017749074,2.260314201,509.2201005,-0.541416196
NA,6.16482,3.10227,9.26709,NA,NA,831.61456,16.2117,NA,35383128,NA,NA,6265011,102.48647,NA,2725421,51.65594,NA,NA,NA,NA,23.5031385580156,19.7559860461811,2.98345653637023,418.743741424242,424.668252925,390.536143647354,18869945678,2.647003202,519.8889126,0.064764195
NA,6.14784,3.21913,9.36697,NA,NA,819.55782,15.66138,NA,36296400,NA,NA,6350404,102.17579,NA,2899453,53.6432,NA,NA,NA,NA,22.5795897113763,20.9922871478575,3.04415509158664,418.743741424242,424.668252925,390.536143647354,18353881130,1.189228128,493.7565814,-1.194900383
NA,6.25501,3.32561,9.58062,NA,NA,NA,NA,43.01972,37172386,NA,NA,6544906,103.99616,NA,3063889,55.42521,370610,NA,12053875,NA,NA,18.1957930996066,2.90119041899058,418.743741424242,424.668252925,390.536143647354,19291104008,3.911603419,507.1033919,1.535636674
NA,NA,NA,NA,NA,NA,NA,NA,NA,38042000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5031385580156,3.15713396789259,376.870532413248,385.992542684749,494.446625154545,19807067268,-1.934778249,508.8084095,-4.168191087
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5795897113763,3.11704638811251,418.705516766667,385.992542684749,405.385788303788,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,2513546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398.967532953704,489.924679061538,477.662860478431,NA,NA,NA,NA
NA,4.59821,6.92079,11.51899,NA,NA,NA,NA,NA,2566266,NA,NA,284644,114.95519,NA,415601,86.50983,14695,NA,NA,NA,NA,NA,NA,418.705516766667,398.687012614921,405.385788303788,NA,NA,NA,NA
NA,4.48604,7.06042,11.54646,NA,NA,NA,NA,NA,2617832,NA,NA,280593,112.15107,NA,428218,88.25525,NA,NA,NA,NA,NA,NA,NA,418.705516766667,398.687012614921,405.385788303788,NA,NA,NA,NA
1.30942,4.29776,7.2155,11.51326,NA,NA,NA,NA,NA,2671997,86280,43.6474,272277,107.44397,NA,440617,90.19371,NA,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,NA,5.745635292,NA,3.648648547
1.39551,4.19808,7.29491,11.49299,NA,NA,NA,NA,NA,2726056,92490,46.51689,269016,104.95196,NA,447501,91.18642,14568,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,NA,2.948596802,NA,0.795840072
1.4523,4.14111,6.96365,11.10476,NA,NA,NA,NA,NA,2784278,96790,48.41001,267850,103.52771,NA,428750,87.04559,NA,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,NA,1.104938262,NA,-1.016802172
1.48105,4.10266,6.56009,10.66275,NA,NA,NA,NA,NA,2843960,99120,49.36845,267200,102.56646,NA,405293,82.00112,17500,NA,NA,NA,NA,NA,NA,381.409301675758,385.992542684749,364.395148439506,1857338012,-1.251596645,639.4847358,-3.307497203
